СПРАВОЧНЫЙ ДАМП ТН ВЭД ЕАЭС
Источник: https://tnved.info/TnvedTree/
Дата получения: 2026-07-20T13:32:37+00:00
Версия источника: 05.07.2022:2
Состав: 21 разделов, 96 групп, 21163 узлов, 13287 листовых кодов

РАЗДЕЛ I
ЖИВЫЕ ЖИВОТНЫЕ; ПРОДУКТЫ ЖИВОТНОГО ПРОИСХОЖДЕНИЯ (01-05)

ИЕРАРХИЯ ТН ВЭД
I | ЖИВЫЕ ЖИВОТНЫЕ; ПРОДУКТЫ ЖИВОТНОГО ПРОИСХОЖДЕНИЯ (01-05)
          0106110090 | – – – прочие [Прочие приматы, живые млекопитающие]
        01061200 | – – киты, дельфины и морские свиньи (млекопитающие отряда Cetacea); ламантины и дюгони (млекопитающие отряда Sirenia); тюлени, морские львы и моржи (млекопитающие подотряда Pinnipedia):
          0106120010 | – – – для научно-исследовательских целей [Живые киты, дельфины и морские свиньи (млекопитающие отряда cetacea); ламантины и дюгони  (млекопитающие отряда sirenia); тюлени, морские львы и моржи (млекопитающие подотряда pinnipedia) для научно-исследовательских целей]
          0106120090 | – – – прочие [Прочие живые киты, дельфины и морские свиньи (млекопитающие отряда cetacea); ламантины и дюгони  (млекопитающие отряда sirenia); тюлени, морские львы и моржи (млекопитающие подотряда pinnipedia)]
        01061300 | – – верблюды и прочие животные семейства верблюдовых (Camelidae):
          0106130010 | – – – для научно-исследовательских целей [Живые верблюды и прочие животные семейства верблюдовых (camelidae) для научно-исследовательских целей]
          0106130090 | – – – прочие [Прочие живые верблюды и животные семейства верблюдовых (camelidae)]
        010614 | – – кролики и зайцы:
          01061410 | – – – кролики домашние:
            0106141010 | – – – – для научно-исследовательских целей [Живые кролики домашние для научно-исследовательских целей]
            0106141090 | – – – – прочие [Прочие живые кролики домашние]
          01061490 | – – – прочие:
            0106149010 | – – – – для научно-исследовательских целей [Живые зайцы и кролики для научно-исследовательских целей]
            0106149090 | – – – – прочие [Прочие живые зайцы и кролики]
        01061900 | – – прочие:
          0106190010 | – – – для научно-исследовательских целей [Прочие живые млекопитающие для научно-исследовательских целей]
          010619009 | – – – прочие:
            0106190091 | – – – – лисицы [Лисицы живые]
            0106190092 | – – – – песцы [Песцы живые]
            0106190093 | – – – – соболи [Соболи  живые]
            0106190094 | – – – – норки [Норки  живые]
            0106190099 | – – – – прочие [Прочие живые млекопитающие]
      01062000 | – рептилии (включая змей и черепах):
        0106200010 | – – для научно-исследовательских целей [Живые рептилии (включая змей и черепах) для научно-исследовательских целей]
        0106200090 | – – прочие [Прочие живые рептилии (включая змей и черепах)]
       | – птицы:
        01063100 | – – хищные птицы:
          0106310010 | – – – для научно-исследовательских целей [Живые хищные птицы для научно-исследовательских целей]
          0106310090 | – – – прочие [Прочие живые хищные птицы]
        01063200 | – – попугаеобразные (включая попугаев, длиннохвостых попугаев, ара и какаду):
          0106320010 | – – – для научно-исследовательских целей [Живые птицы попугаеобразные (включая попугаев, длиннохвостых попугаев ара и какаду) для научно-исследовательских целей]
          0106320090 | – – – прочие [Прочие живые птицы попугаеобразные (включая попугаев, длиннохвостых попугаев, ара и какаду)]
        01063300 | – – страусы; эму (Dromaius novaehollandiae):
          0106330010 | – – – для научно-исследовательских целей [Живые страусы; эму (dromaius novaehollandiae) для научно-исследовательских целей]
          0106330090 | – – – прочие [Прочие живые страусы; эму (dromaius novaehollandiae)]
        010639 | – – прочие:
          0106391000 | – – – голуби [Голуби прочие, живые птицы]
          01063980 | – – – прочие:
            0106398010 | – – – – для научно-исследовательских целей [Прочие живые птицы для научно-исследовательских целей]
            0106398090 | – – – – прочие [Прочие живые птицы]
       | – насекомые:
        010641000 | – – пчелы:
           | – – – медоносные:
            0106410001 | – – – – матки пчелиные [Матки пчелиные, живые пчелы медоносные]
            0106410002 | – – – – пчелопакеты [Пчелопакеты пчел медоносных]
            0106410003 | – – – – прочие [Прочие пчелы медоносные живые]
           | – – – прочие:
            0106410008 | – – – – для научно-исследовательских целей [Прочие пчелы живые для научно исследовательских целей]
            0106410009 | – – – – прочие [Прочие пчелы живые]
        010649000 | – – прочие:
          0106490001 | – – – для научно-исследовательских целей [Прочие насекомые живые для научно-исследовательских целей]
          0106490009 | – – – прочие [Прочие насекомые живые]
      01069000 | – прочие:
        0106900010 | – – животные для научно-исследовательских целей [Прочие животные живые для научно-исследовательских целей]
